horsepower	highway-mpg	symboling	normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	peak-rpm	city-mpg	price
116	30	2	134	toyota	gas	std	two	hardtop	rwd	front	98.4	176.2	65.6	52	2536	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	9639
116	30	2	134	toyota	gas	std	two	hatchback	rwd	front	98.4	176.2	65.6	52	2714	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	11549
85	34	2	94	volkswagen	gas	std	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2212	ohc	four	109	mpfi	3.19	3.4	9	5250	27	8195
73	31	2	83	subaru	gas	std	two	hatchback	4wd	front	93.3	157.3	63.8	55.7	2240	ohcf	four	108	2bbl	3.62	2.64	8.7	4400	26	7603
68	38	2	161	mitsubishi	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1944	ohc	four	92	2bbl	2.97	3.23	9.4	5500	31	6189
68	38	2	161	mitsubishi	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1944	ohc	four	92	2bbl	2.97	3.23	9.4	5500	31	6189
100	32	2	94	volkswagen	gas	std	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2300	ohc	four	109	mpfi	3.19	3.4	10	5500	26	9995
116	30	2	134	toyota	gas	std	two	convertible	rwd	front	98.4	176.2	65.6	53	2975	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	17669
52	46	2	94	volkswagen	diesel	std	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2264	ohc	four	97	idi	3.01	3.4	23	4800	37	7995
102.591133	31	2	120.2325581	renault	gas	std	two	hatchback	fwd	front	96.1	176.8	66.6	50.5	2460	ohc	four	132	mpfi	3.46	3.9	8.7	5095.073892	23	9895
85	34	2	94	volkswagen	gas	std	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2212	ohc	four	109	mpfi	3.19	3.4	9	5250	27	8195
68	38	2	161	mitsubishi	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1944	ohc	four	92	2bbl	2.97	3.23	9.4	5500	31	6189
110	28	2	104	saab	gas	std	four	sedan	fwd	front	99.1	186.6	66.5	56.1	2758	ohc	four	121	mpfi	3.54	3.07	9.3	5250	21	15510
69	37	2	168	nissan	gas	std	two	hardtop	fwd	front	95.1	162.4	63.8	53.3	2008	ohc	four	97	2bbl	3.15	3.29	9.4	5200	31	8249
145	24	3	120.2325581	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2833	ohc	four	156	spdi	3.58	3.86	7	5000	19	12629
145	24	3	120.2325581	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2921	ohc	four	156	spdi	3.59	3.86	7	5000	19	14869
161	24	3	197	toyota	gas	std	two	hatchback	rwd	front	102.9	183.5	67.7	52	3016	dohc	six	171	mpfi	3.27	3.35	9.3	5200	19	15998
145	24	3	120.2325581	plymouth	gas	turbo	two	hatchback	rwd	front	95.9	173.2	66.3	50.2	2818	ohc	four	156	spdi	3.59	3.86	7	5000	19	12764
88	32	3	153	mitsubishi	gas	std	two	hatchback	fwd	front	96.3	173	65.4	49.4	2328	ohc	four	122	2bbl	3.35	3.46	8.5	5000	25	8499
116	30	3	153	mitsubishi	gas	turbo	two	hatchback	fwd	front	96.3	173	65.4	49.4	2370	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9959
116	30	3	153	mitsubishi	gas	turbo	two	hatchback	fwd	front	96.3	173	65.4	49.4	2370	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9959
207	25	3	120.2325581	porsche	gas	std	two	hardtop	rwd	rear	89.5	168.9	65	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	5900	17	32528
145	24	3	120.2325581	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2921	ohc	four	156	spdi	3.59	3.86	7	5000	19	14869
207	25	3	120.2325581	porsche	gas	std	two	hardtop	rwd	rear	89.5	168.9	65	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	5900	17	32528
207	25	3	120.2325581	porsche	gas	std	two	hardtop	rwd	rear	89.5	168.9	65	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	5900	17	34028
160	26	3	150	saab	gas	turbo	two	hatchback	fwd	front	99.1	186.6	66.5	56.1	2808	dohc	four	121	mpfi	3.54	3.07	9	5500	19	18150
143	27	3	186	porsche	gas	std	two	hatchback	rwd	front	94.5	168.9	68.3	50.2	2778	ohc	four	151	mpfi	3.94	3.11	9.5	5500	19	22018
145	24	3	120.2325581	plymouth	gas	turbo	two	hatchback	rwd	front	95.9	173.2	66.3	50.2	2818	ohc	four	156	spdi	3.59	3.86	7	5000	19	12764
116	30	3	153	mitsubishi	gas	turbo	two	hatchback	fwd	front	96.3	173	65.4	49.4	2370	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9959
161	24	3	197	toyota	gas	std	two	hatchback	rwd	front	102.9	183.5	67.7	52	2976	dohc	six	171	mpfi	3.27	3.35	9.3	5200	20	16558
90	29	3	256	volkswagen	gas	std	two	hatchback	fwd	front	94.5	165.7	64	51.4	2221	ohc	four	109	mpfi	3.19	3.4	8.5	5500	24	9980
207	25	3	120.2325581	porsche	gas	std	two	hardtop	rwd	rear	89.5	168.9	65	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	5900	17	34028
90	29	3	120.2325581	volkswagen	gas	std	two	convertible	fwd	front	94.5	159.3	64.2	55.6	2254	ohc	four	109	mpfi	3.19	3.4	8.5	5500	24	11595
145	24	3	120.2325581	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2833	ohc	four	156	spdi	3.58	3.86	7	5000	19	12629
116	30	3	153	mitsubishi	gas	turbo	two	hatchback	fwd	front	96.3	173	65.4	49.4	2370	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9959
161	24	3	197	toyota	gas	std	two	hatchback	rwd	front	102.9	183.5	67.7	52	2976	dohc	six	171	mpfi	3.27	3.35	9.3	5200	20	16558
207	25	3	120.2325581	porsche	gas	std	two	hardtop	rwd	rear	89.5	168.9	65	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	5900	17	32528
116	30	3	153	mitsubishi	gas	turbo	two	hatchback	fwd	front	96.3	173	65.4	49.4	2370	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9959
																									
